19:42:38.540 [main] INFO  Common.BaseClass - Test	 On Test Start
19:42:38.550 [main] INFO  Common.BaseClass - Test	 Test Successfully 
19:42:38.553 [main] INFO  Common.BaseClass - Testc	 On Test Start
19:42:38.556 [main] INFO  Common.BaseClass - Testc	 Test Successfully 
19:42:38.963 [main] INFO  Common.BaseClass - Parameter	 On Start Test 
19:42:38.966 [main] INFO  Common.BaseClass - Demo	 On Test Start
19:42:38.968 [main] INFO  Common.BaseClass - Demo	 Test Successfully 
19:42:38.972 [main] INFO  Common.BaseClass - exclude	 On Test Start
19:42:38.974 [main] INFO  Common.BaseClass - exclude	 Test Successfully 
19:43:34.386 [main] INFO  Common.BaseClass - Test	 On Start Test 
19:43:34.415 [main] INFO  Common.BaseClass - Description	 On Test Start
19:43:34.427 [main] INFO  Common.BaseClass - Description	 Test Successfully 
19:43:34.430 [main] INFO  Common.BaseClass - Parameter	 On Test Start
19:43:34.431 [main] INFO  Common.BaseClass - Parameter	 Test Successfully 
19:43:34.433 [main] INFO  Common.BaseClass - Testc1	 On Test Start
